sample_id	tissue
GTEX-1CAMR-1426-SM-793BO	Breast - Mammary Tissue
GTEX-1CAMR-1526-SM-79OLP	Testis
GTEX-1CAMR-1626-SM-79OLC	Prostate
GTEX-1CAMR-1726-SM-793CU	Muscle - Skeletal
GTEX-1CAMR-1826-SM-7MXUJ	Adipose - Subcutaneous
GTEX-1CAMR-1926-SM-7EPI2	Skin - Sun Exposed (Lower leg)
GTEX-1CAMR-2126-SM-7PBYX	Artery - Tibial
GTEX-1CAMS-0005-SM-ARL6Y	Whole Blood
GTEX-1CAMS-0008-SM-EXURB	Cells - Cultured fibroblasts
GTEX-1CAMS-0126-SM-79396	Muscle - Skeletal
GTEX-1CAMS-0226-SM-79397	Adrenal Gland
GTEX-1CAMS-0326-SM-7PC35	Adipose - Subcutaneous
GTEX-1CAMS-0426-SM-7P8T2	Skin - Sun Exposed (Lower leg)
GTEX-1CAMS-0526-SM-7EWEX	Nerve - Tibial
GTEX-1CAMS-0626-SM-7PBYY	Artery - Tibial
GTEX-1CAMS-0826-SM-7P8P1	Thyroid
GTEX-1CAMS-0926-SM-7SB7F	Adipose - Visceral (Omentum)
GTEX-1CAMS-1026-SM-7PC2I	Artery - Aorta
GTEX-1CAMS-1126-SM-7MXUQ	Heart - Atrial Appendage
GTEX-1CAMS-1226-SM-79393	Artery - Coronary
GTEX-1CAMS-1326-SM-79OJR	Heart - Left Ventricle
GTEX-1CAMS-1426-SM-7IGPM	Breast - Mammary Tissue
GTEX-1CAMS-1626-SM-79394	Esophagus - Gastroesophageal Junction
GTEX-1CAMS-1926-SM-7DUEU	Pancreas
GTEX-1CAMS-2026-SM-79395	Uterus
GTEX-1CAMS-2126-SM-7MXTF	Ovary
GTEX-1CAMS-2226-SM-7PBXQ	Skin - Not Sun Exposed (Suprapubic)
GTEX-1CAMS-2326-SM-793CR	Vagina
GTEX-1CAMS-2426-SM-7DHMV	Small Intestine - Terminal Ileum
GTEX-1CAMS-2526-SM-7EPH7	Colon - Transverse
GTEX-1CAMS-2626-SM-7PBY3	Colon - Sigmoid
GTEX-1CAV2-0008-SM-EXURC	Cells - Cultured fibroblasts
GTEX-1CAV2-0011-R11a-SM-ARU8D	Brain - Cerebellar Hemisphere
GTEX-1CAV2-0011-R1a-SM-ARZML	Brain - Hippocampus
GTEX-1CAV2-0011-R5b-SM-9QEH4	Brain - Caudate (basal ganglia)
GTEX-1CAV2-0011-R9b-SM-9WG5M	Brain - Spinal cord (cervical c-1)
GTEX-1CAV2-0126-SM-7IGN7	Skin - Not Sun Exposed (Suprapubic)
GTEX-1CAV2-0226-SM-7IGPQ	Adipose - Visceral (Omentum)
GTEX-1CAV2-0626-SM-7P8QE	Lung
GTEX-1CAV2-1426-SM-7MGX6	Uterus
GTEX-1CAV2-2226-SM-7P8P2	Skin - Sun Exposed (Lower leg)
GTEX-1CAV2-2426-SM-7P8QF	Muscle - Skeletal
GTEX-1CAV2-2526-SM-7IGQ7	Nerve - Tibial
GTEX-1CAV2-2626-SM-7MGX7	Artery - Tibial
GTEX-1CAV2-2726-SM-7IGNN	Brain - Cortex
GTEX-1CB4E-0005-SM-ADEGS	Whole Blood
GTEX-1CB4E-0008-SM-EXURD	Cells - Cultured fibroblasts
GTEX-1CB4E-0126-SM-7DHMX	Spleen
GTEX-1CB4E-0226-SM-79OLW	Breast - Mammary Tissue
GTEX-1CB4E-0326-SM-7MXT3	Thyroid
GTEX-1CB4E-0426-SM-7PBY5	Artery - Aorta
GTEX-1CB4E-0526-SM-7MXTK	Heart - Left Ventricle
GTEX-1CB4E-0626-SM-7DHMW	Heart - Atrial Appendage
GTEX-1CB4E-0726-SM-7EWEY	Artery - Coronary
GTEX-1CB4E-0826-SM-793CS	Adipose - Visceral (Omentum)
GTEX-1CB4E-0926-SM-7EPHT	Skin - Not Sun Exposed (Suprapubic)
GTEX-1CB4E-1026-SM-793AB	Esophagus - Mucosa
GTEX-1CB4E-1126-SM-79OOM	Esophagus - Muscularis
GTEX-1CB4E-1226-SM-7MKFX	Esophagus - Gastroesophageal Junction
GTEX-1CB4E-1326-SM-7DUGD	Stomach
GTEX-1CB4E-1726-SM-7IGMS	Prostate
GTEX-1CB4E-1826-SM-7RHG8	Adipose - Subcutaneous
GTEX-1CB4E-1926-SM-7RHFO	Nerve - Tibial
GTEX-1CB4E-2026-SM-7PC2V	Artery - Tibial
GTEX-1CB4E-2126-SM-793AP	Muscle - Skeletal
GTEX-1CB4E-2226-SM-793DC	Skin - Sun Exposed (Lower leg)
GTEX-1CB4F-0008-SM-EXURE	Cells - Cultured fibroblasts
GTEX-1CB4F-0126-SM-9JGGZ	Adrenal Gland
GTEX-1CB4F-0226-SM-7EPHS	Spleen
GTEX-1CB4F-0326-SM-9MQKD	Muscle - Skeletal
GTEX-1CB4F-0426-SM-9KNV4	Skin - Sun Exposed (Lower leg)
GTEX-1CB4F-0526-SM-9KNW2	Adipose - Subcutaneous
GTEX-1CB4F-0626-SM-9MQLI	Nerve - Tibial
GTEX-1CB4F-0726-SM-793AO	Artery - Tibial
GTEX-1CB4F-0826-SM-793CV	Thyroid
GTEX-1CB4F-0926-SM-7DHMJ	Lung
GTEX-1CB4F-1026-SM-7DUH1	Skin - Not Sun Exposed (Suprapubic)
GTEX-1CB4F-1126-SM-79OLG	Adipose - Visceral (Omentum)
GTEX-1CB4F-1226-SM-7DHKU	Pancreas
GTEX-1CB4F-1326-SM-793CW	Esophagus - Gastroesophageal Junction
GTEX-1CB4F-1426-SM-793DA	Esophagus - Muscularis
GTEX-1CB4F-1526-SM-7MKFM	Esophagus - Mucosa
GTEX-1CB4F-1726-SM-7MGXH	Liver
GTEX-1CB4F-1826-SM-7MGXI	Small Intestine - Terminal Ileum
GTEX-1CB4F-1926-SM-7MKFN	Colon - Sigmoid
GTEX-1CB4F-2026-SM-79OLU	Colon - Transverse
GTEX-1CB4F-2126-SM-7MXUL	Testis
GTEX-1CB4F-2326-SM-7MKFO	Prostate
GTEX-1CB4G-0006-SM-AHZ22	Whole Blood
GTEX-1CB4G-0008-SM-EXURF	Cells - Cultured fibroblasts
GTEX-1CB4G-0011-R10a-SM-9QEHS	Brain - Frontal Cortex (BA9)
GTEX-1CB4G-0011-R11a-SM-9OSWG	Brain - Cerebellar Hemisphere
GTEX-1CB4G-0011-R1b-SM-9QEHT	Brain - Hippocampus
GTEX-1CB4G-0011-R2a-SM-9QEGQ	Brain - Substantia nigra
GTEX-1CB4G-0011-R3a-SM-CE6QQ	Brain - Anterior cingulate cortex (BA24)
GTEX-1CB4G-0011-R4b-SM-CJI28	Brain - Amygdala
GTEX-1CB4G-0011-R5a-SM-CKZNM	Brain - Caudate (basal ganglia)
GTEX-1CB4G-0011-R6b-SM-9QEGO	Brain - Nucleus accumbens (basal ganglia)
GTEX-1CB4G-0011-R7b-SM-9QEGP	Brain - Putamen (basal ganglia)
GTEX-1CB4G-0011-R8b-SM-9WG7H	Brain - Hypothalamus
GTEX-1CB4G-0226-SM-7PC3O	Skin - Sun Exposed (Lower leg)
GTEX-1CB4G-0326-SM-7SB8R	Adipose - Subcutaneous
GTEX-1CB4G-0426-SM-7MXUN	Muscle - Skeletal
GTEX-1CB4G-0526-SM-7P8SY	Artery - Tibial
GTEX-1CB4G-0626-SM-7PC3P	Nerve - Tibial
GTEX-1CB4G-0726-SM-79OOJ	Heart - Atrial Appendage
GTEX-1CB4G-0826-SM-7DUGF	Heart - Left Ventricle
GTEX-1CB4G-1126-SM-7PBXW	Artery - Aorta
GTEX-1CB4G-1326-SM-7MKFP	Esophagus - Mucosa
GTEX-1CB4G-1426-SM-7RHH1	Esophagus - Muscularis
GTEX-1CB4G-1526-SM-7P8QG	Thyroid
GTEX-1CB4G-1826-SM-7MKGO	Pancreas
GTEX-1CB4G-2126-SM-7IGQ8	Adipose - Visceral (Omentum)
GTEX-1CB4G-2326-SM-79OOI	Breast - Mammary Tissue
GTEX-1CB4G-2426-SM-7DUGM	Testis
GTEX-1CB4G-2526-SM-7MXTG	Prostate
GTEX-1CB4G-2726-SM-79OO4	Colon - Sigmoid
GTEX-1CB4G-2926-SM-7MKFQ	Brain - Cerebellum
GTEX-1CB4G-3126-SM-7EPHX	Pituitary
GTEX-1CB4H-0006-SM-A96RE	Whole Blood
GTEX-1CB4H-0011-R10b-SM-9QEH3	Brain - Frontal Cortex (BA9)
GTEX-1CB4H-0011-R3b-SM-9OSVI	Brain - Anterior cingulate cortex (BA24)
GTEX-1CB4H-0011-R5b-SM-9QEGN	Brain - Caudate (basal ganglia)
GTEX-1CB4H-0011-R6b-SM-CKZNK	Brain - Nucleus accumbens (basal ganglia)
GTEX-1CB4H-0011-R7b-SM-CJI27	Brain - Putamen (basal ganglia)
GTEX-1CB4H-0011-R8b-SM-CJI26	Brain - Hypothalamus
GTEX-1CB4H-0011-R9a-SM-CKZNL	Brain - Spinal cord (cervical c-1)
GTEX-1CB4H-0126-SM-7IGN2	Thyroid
GTEX-1CB4H-0226-SM-7PBXM	Skin - Sun Exposed (Lower leg)
GTEX-1CB4H-0326-SM-9WG5G	Adipose - Subcutaneous
GTEX-1CB4H-0426-SM-7MXTL	Muscle - Skeletal
GTEX-1CB4H-0626-SM-7IGN3	Heart - Atrial Appendage
GTEX-1CB4H-0826-SM-7SB7Z	Artery - Tibial
GTEX-1CB4H-0926-SM-7PBYZ	Nerve - Tibial
GTEX-1CB4H-1126-SM-7MKGL	Skin - Not Sun Exposed (Suprapubic)
GTEX-1CB4H-1526-SM-7MXU4	Esophagus - Mucosa
GTEX-1CB4H-2426-SM-7PBYR	Stomach
GTEX-1CB4H-2726-SM-7EWFF	Uterus
GTEX-1CB4H-3026-SM-79OLX	Brain - Cerebellum
GTEX-1CB4H-3126-SM-7IGN4	Brain - Cortex
GTEX-1CB4H-3226-SM-7MXUC	Pituitary
GTEX-1CB4I-0006-SM-A96RF	Whole Blood
GTEX-1CB4I-0008-SM-EXURG	Cells - Cultured fibroblasts
GTEX-1CB4I-0126-SM-7RHGG	Skin - Not Sun Exposed (Suprapubic)
GTEX-1CB4I-0226-SM-79OLH	Skin - Sun Exposed (Lower leg)
GTEX-1CB4I-0326-SM-7DHMM	Muscle - Skeletal
GTEX-1CB4I-0426-SM-7IGPR	Adipose - Subcutaneous
GTEX-1CB4I-0526-SM-7RHGC	Artery - Tibial
GTEX-1CB4I-0626-SM-79OM1	Nerve - Tibial
GTEX-1CB4I-0726-SM-7DUGS	Thyroid
GTEX-1CB4I-0826-SM-7MGX1	Adipose - Visceral (Omentum)
GTEX-1CB4I-0926-SM-7MKFY	Testis
GTEX-1CB4I-1026-SM-7MKFZ	Esophagus - Mucosa
GTEX-1CB4I-1326-SM-79OLY	Pancreas
GTEX-1CB4I-1426-SM-79OLZ	Spleen
GTEX-1CB4I-1526-SM-7DHMY	Heart - Atrial Appendage
GTEX-1CB4I-1626-SM-7RHGV	Heart - Left Ventricle
GTEX-1CB4I-1826-SM-793CX	Artery - Aorta
GTEX-1CB4I-2026-SM-7DHMG	Esophagus - Gastroesophageal Junction
GTEX-1CB4I-2126-SM-793AG	Lung
GTEX-1CB4I-2226-SM-7P8SL	Colon - Transverse
GTEX-1CB4I-2526-SM-7MKG1	Minor Salivary Gland
GTEX-1CB4J-0006-SM-ACKV6	Whole Blood
GTEX-1CB4J-0008-SM-EXURH	Cells - Cultured fibroblasts
GTEX-1CB4J-0011-R10a-SM-9WG63	Brain - Frontal Cortex (BA9)
GTEX-1CB4J-0011-R1a-SM-9WG64	Brain - Hippocampus
GTEX-1CB4J-0011-R4b-SM-9WG5P	Brain - Amygdala
GTEX-1CB4J-0011-R6b-SM-9WG7B	Brain - Nucleus accumbens (basal ganglia)
GTEX-1CB4J-0011-R8a-SM-9QEHU	Brain - Hypothalamus
GTEX-1CB4J-0126-SM-7PC3K	Artery - Aorta
GTEX-1CB4J-0226-SM-7P8T4	Heart - Atrial Appendage
GTEX-1CB4J-0326-SM-7PBZO	Heart - Left Ventricle
GTEX-1CB4J-0526-SM-7DUGI	Nerve - Tibial
GTEX-1CB4J-0626-SM-7DHMP	Skin - Sun Exposed (Lower leg)
GTEX-1CB4J-0726-SM-7IGN8	Liver
GTEX-1CB4J-1026-SM-7P8RW	Artery - Tibial
GTEX-1CB4J-1126-SM-7PBY1	Adipose - Subcutaneous
GTEX-1CB4J-1226-SM-7P8P3	Muscle - Skeletal
GTEX-1CB4J-1326-SM-7P8RX	Skin - Not Sun Exposed (Suprapubic)
GTEX-1CB4J-1426-SM-7MKFR	Thyroid
GTEX-1CB4J-1526-SM-7MXVB	Prostate
GTEX-1CB4J-1726-SM-79OOL	Lung
GTEX-1CB4J-1826-SM-7EWF9	Breast - Mammary Tissue
GTEX-1CB4J-1926-SM-7MGX8	Kidney - Cortex
GTEX-1CB4J-2226-SM-7EWF5	Esophagus - Muscularis
GTEX-1CB4J-2326-SM-7EPIF	Esophagus - Gastroesophageal Junction
GTEX-1CB4J-2426-SM-7MXVC	Esophagus - Mucosa
GTEX-1CB4J-3126-SM-7MKFS	Pituitary
GTEX-1E1VI-0005-SM-ARU6H	Whole Blood
GTEX-1E1VI-0011-R10b-SM-ARU8F	Brain - Frontal Cortex (BA9)
GTEX-1E1VI-0011-R11a-SM-9OSWI	Brain - Cerebellar Hemisphere
GTEX-1E1VI-0011-R1a-SM-ARZMM	Brain - Hippocampus
GTEX-1E1VI-0011-R2a-SM-9QEGS	Brain - Substantia nigra
GTEX-1E1VI-0011-R3a-SM-9OSWH	Brain - Anterior cingulate cortex (BA24)
GTEX-1E1VI-0011-R4b-SM-9QEHV	Brain - Amygdala
GTEX-1E1VI-0011-R5b-SM-9WG5V	Brain - Caudate (basal ganglia)
GTEX-1E1VI-0011-R6a-SM-9OSVJ	Brain - Nucleus accumbens (basal ganglia)
GTEX-1E1VI-0011-R7b-SM-9QEGR	Brain - Putamen (basal ganglia)
GTEX-1E1VI-0011-R8b-SM-ARU8E	Brain - Hypothalamus
GTEX-1E1VI-0126-SM-7DHMZ	Skin - Sun Exposed (Lower leg)
GTEX-1E1VI-0226-SM-793CZ	Adipose - Subcutaneous
GTEX-1E1VI-0326-SM-793D1	Skin - Not Sun Exposed (Suprapubic)
GTEX-1E1VI-0426-SM-7DHN1	Muscle - Skeletal
GTEX-1E1VI-0526-SM-79OM2	Nerve - Tibial
GTEX-1E1VI-0626-SM-7PBZ1	Artery - Tibial
GTEX-1E1VI-0726-SM-7P8QJ	Thyroid
GTEX-1E1VI-0926-SM-7P8T3	Lung
GTEX-1E1VI-1026-SM-7MKGQ	Testis
GTEX-1E1VI-1226-SM-7RHGD	Artery - Aorta
GTEX-1E1VI-1326-SM-7IGQD	Heart - Left Ventricle
GTEX-1E1VI-1426-SM-793CY	Heart - Atrial Appendage
GTEX-1E1VI-1526-SM-7IGQ2	Esophagus - Mucosa
GTEX-1E1VI-1626-SM-7EPIL	Esophagus - Muscularis
GTEX-1E1VI-1826-SM-9WG5J	Adipose - Visceral (Omentum)
GTEX-1E1VI-2726-SM-7MXVH	Prostate
GTEX-1E1VI-2826-SM-7MGWU	Stomach
GTEX-1E1VI-2926-SM-7IGLT	Brain - Cerebellum
GTEX-1E1VI-3026-SM-7RHHU	Brain - Cortex
GTEX-1E2YA-0006-SM-AHZ23	Whole Blood
GTEX-1E2YA-0008-SM-EXURI	Cells - Cultured fibroblasts
GTEX-1E2YA-0011-R1b-SM-CJI29	Brain - Hippocampus
GTEX-1E2YA-0011-R5a-SM-9QEGT	Brain - Caudate (basal ganglia)
GTEX-1E2YA-0011-R6b-SM-CE6R2	Brain - Nucleus accumbens (basal ganglia)
GTEX-1E2YA-0011-R7a-SM-CJI1Z	Brain - Putamen (basal ganglia)
GTEX-1E2YA-0011-R8a-SM-CKZNG	Brain - Hypothalamus
GTEX-1E2YA-0126-SM-9KNUC	Skin - Sun Exposed (Lower leg)
GTEX-1E2YA-0226-SM-9MQLY	Adipose - Subcutaneous
GTEX-1E2YA-0326-SM-9KNW8	Nerve - Tibial
GTEX-1E2YA-0426-SM-7RHFZ	Artery - Tibial
GTEX-1E2YA-0526-SM-7P8RY	Muscle - Skeletal
GTEX-1E2YA-0626-SM-7P8P4	Heart - Atrial Appendage
GTEX-1E2YA-0926-SM-7MXUK	Lung
GTEX-1E2YA-1226-SM-7MGY3	Liver
GTEX-1E2YA-1626-SM-7MGXS	Kidney - Cortex
GTEX-1E2YA-1926-SM-7P8QH	Esophagus - Gastroesophageal Junction
GTEX-1E2YA-2126-SM-7MXUO	Skin - Not Sun Exposed (Suprapubic)
GTEX-1E2YA-2426-SM-7EPIG	Stomach
GTEX-1E2YA-2526-SM-7IGOU	Colon - Sigmoid
GTEX-1E2YA-2626-SM-7MGWW	Colon - Transverse
GTEX-1E2YA-2726-SM-7IGPW	Breast - Mammary Tissue
GTEX-1E2YA-2826-SM-7EPIN	Testis
GTEX-1E2YA-2926-SM-7MGWX	Brain - Cerebellum
GTEX-1E2YA-3026-SM-7IGO7	Brain - Cortex
GTEX-1E2YA-3126-SM-9JGI6	Pituitary
GTEX-1EH9U-0005-SM-ACKV3	Whole Blood
GTEX-1EH9U-0011-R10a-SM-CJI2A	Brain - Frontal Cortex (BA9)
GTEX-1EH9U-0011-R1b-SM-CJI2B	Brain - Hippocampus
GTEX-1EH9U-0011-R3b-SM-CL534	Brain - Anterior cingulate cortex (BA24)
GTEX-1EH9U-0011-R5a-SM-CJI2K	Brain - Caudate (basal ganglia)
GTEX-1EH9U-0011-R6a-SM-CJI2C	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EH9U-0011-R7a-SM-9QEGU	Brain - Putamen (basal ganglia)
GTEX-1EH9U-0011-R9b-SM-9WG5T	Brain - Spinal cord (cervical c-1)
GTEX-1EH9U-0226-SM-7PBY8	Adipose - Subcutaneous
GTEX-1EH9U-0326-SM-7P8S2	Muscle - Skeletal
GTEX-1EH9U-0426-SM-7PBY9	Nerve - Tibial
GTEX-1EH9U-0526-SM-7PBZ3	Artery - Tibial
GTEX-1EH9U-0626-SM-7PC33	Heart - Atrial Appendage
GTEX-1EH9U-0826-SM-7IGPT	Heart - Left Ventricle
GTEX-1EH9U-0926-SM-7EWF1	Thyroid
GTEX-1EH9U-1126-SM-7IGLU	Liver
GTEX-1EH9U-1326-SM-79OM3	Adipose - Visceral (Omentum)
GTEX-1EH9U-1726-SM-7P8QK	Adrenal Gland
GTEX-1EH9U-1826-SM-7P8QL	Prostate
GTEX-1EH9U-1926-SM-7P8QM	Colon - Sigmoid
GTEX-1EH9U-2026-SM-7PBYS	Colon - Transverse
GTEX-1EH9U-2226-SM-7PBXX	Stomach
GTEX-1EH9U-2326-SM-7P8P5	Esophagus - Gastroesophageal Junction
GTEX-1EH9U-2426-SM-7EWFG	Esophagus - Mucosa
GTEX-1EH9U-2526-SM-79OO5	Esophagus - Muscularis
GTEX-1EH9U-2626-SM-7IGQN	Testis
GTEX-1EH9U-2826-SM-7DUGT	Skin - Not Sun Exposed (Suprapubic)
GTEX-1EH9U-2926-SM-7DHLX	Minor Salivary Gland
GTEX-1EH9U-3126-SM-7MXU5	Brain - Cerebellum
GTEX-1EH9U-3226-SM-7MKGR	Pituitary
GTEX-1EKGG-0001-SM-EAZCL	Cells - EBV-transformed lymphocytes
GTEX-1EKGG-0005-SM-AHZ1Z	Whole Blood
GTEX-1EKGG-0011-R11a-SM-9QEHZ	Brain - Cerebellar Hemisphere
GTEX-1EKGG-0011-R1b-SM-9QEI1	Brain - Hippocampus
GTEX-1EKGG-0011-R2a-SM-CE6R8	Brain - Substantia nigra
GTEX-1EKGG-0011-R5a-SM-9OSVQ	Brain - Caudate (basal ganglia)
GTEX-1EKGG-0011-R6a-SM-CL538	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EKGG-0011-R7a-SM-CKZNN	Brain - Putamen (basal ganglia)
GTEX-1EKGG-0011-R9a-SM-CMKFV	Brain - Spinal cord (cervical c-1)
GTEX-1EKGG-0126-SM-9YFLS	Adipose - Subcutaneous
GTEX-1EKGG-0226-SM-9WYTH	Skin - Sun Exposed (Lower leg)
GTEX-1EKGG-0326-SM-9WYTG	Artery - Tibial
GTEX-1EKGG-0626-SM-7DUGJ	Skin - Not Sun Exposed (Suprapubic)
GTEX-1EKGG-0726-SM-7IGPX	Thyroid
GTEX-1EKGG-0826-SM-79OLL	Artery - Aorta
GTEX-1EKGG-1026-SM-7RHG6	Artery - Coronary
GTEX-1EKGG-1126-SM-7MGXB	Heart - Left Ventricle
GTEX-1EKGG-1226-SM-7IGNO	Liver
GTEX-1EKGG-1326-SM-7MXUM	Lung
GTEX-1EKGG-1426-SM-7PBY2	Adipose - Visceral (Omentum)
GTEX-1EKGG-1726-SM-7MXUP	Esophagus - Mucosa
GTEX-1EKGG-2126-SM-7MKFT	Adrenal Gland
GTEX-1EKGG-2226-SM-7IGOA	Kidney - Cortex
GTEX-1EKGG-2626-SM-7IGPY	Breast - Mammary Tissue
GTEX-1EKGG-2726-SM-79OOD	Testis
GTEX-1EKGG-2826-SM-7MGXA	Prostate
GTEX-1EKGG-2926-SM-7EPIH	Brain - Cortex
GTEX-1EKGG-3026-SM-7MKFU	Pituitary
GTEX-1EKGG-3126-SM-9WPO5	Brain - Cerebellum
GTEX-1EMGI-0001-SM-EAZCK	Cells - EBV-transformed lymphocytes
GTEX-1EMGI-0006-SM-ACKVA	Whole Blood
GTEX-1EMGI-0011-R10a-SM-9OSWY	Brain - Frontal Cortex (BA9)
GTEX-1EMGI-0011-R11b-SM-9OSWX	Brain - Cerebellar Hemisphere
GTEX-1EMGI-0011-R1b-SM-9OSWZ	Brain - Hippocampus
GTEX-1EMGI-0011-R2b-SM-9OSVS	Brain - Substantia nigra
GTEX-1EMGI-0011-R3b-SM-CE6R9	Brain - Anterior cingulate cortex (BA24)
GTEX-1EMGI-0011-R4b-SM-CJI2D	Brain - Amygdala
GTEX-1EMGI-0011-R5a-SM-CJI2E	Brain - Caudate (basal ganglia)
GTEX-1EMGI-0011-R6a-SM-9OSVR	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EMGI-0011-R7b-SM-9QEH5	Brain - Putamen (basal ganglia)
GTEX-1EMGI-0011-R8b-SM-9QEID	Brain - Hypothalamus
GTEX-1EMGI-0126-SM-9KNUE	Skin - Sun Exposed (Lower leg)
GTEX-1EMGI-0226-SM-9MQL1	Adipose - Subcutaneous
GTEX-1EMGI-0326-SM-9MQM5	Muscle - Skeletal
GTEX-1EMGI-0426-SM-7P8TR	Artery - Tibial
GTEX-1EMGI-0526-SM-9YFM3	Nerve - Tibial
GTEX-1EMGI-0626-SM-7MXUS	Testis
GTEX-1EMGI-0726-SM-7PBZ4	Adipose - Visceral (Omentum)
GTEX-1EMGI-0826-SM-7EPHY	Thyroid
GTEX-1EMGI-0926-SM-7IGPV	Artery - Aorta
GTEX-1EMGI-1126-SM-9KNUF	Heart - Atrial Appendage
GTEX-1EMGI-1226-SM-793DD	Heart - Left Ventricle
GTEX-1EMGI-1426-SM-7IGNQ	Lung
GTEX-1EMGI-1926-SM-7938Y	Esophagus - Mucosa
GTEX-1EMGI-2026-SM-7RHH3	Esophagus - Gastroesophageal Junction
GTEX-1EMGI-2126-SM-7P8S3	Esophagus - Muscularis
GTEX-1EMGI-2326-SM-7PBYA	Skin - Not Sun Exposed (Suprapubic)
GTEX-1EMGI-2626-SM-7IGNR	Colon - Sigmoid
GTEX-1EMGI-2726-SM-7P8S4	Colon - Transverse
GTEX-1EMGI-2826-SM-7IGMR	Small Intestine - Terminal Ileum
GTEX-1EMGI-2926-SM-7DUEJ	Pituitary
GTEX-1EMGI-3026-SM-7P8P6	Brain - Cortex
GTEX-1EMGI-3126-SM-7MXUR	Brain - Cerebellum
GTEX-1EN7A-0006-SM-AHZ4O	Whole Blood
GTEX-1EN7A-0011-R3a-SM-9OSVT	Brain - Anterior cingulate cortex (BA24)
GTEX-1EN7A-0011-R5a-SM-9QEH6	Brain - Caudate (basal ganglia)
GTEX-1EN7A-0011-R6b-SM-9QEHW	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EN7A-0011-R7b-SM-9QEHX	Brain - Putamen (basal ganglia)
GTEX-1EN7A-0126-SM-7SB81	Skin - Sun Exposed (Lower leg)
GTEX-1EN7A-0326-SM-7P8T1	Muscle - Skeletal
GTEX-1EN7A-0426-SM-7PBYU	Nerve - Tibial
GTEX-1EN7A-0726-SM-7PBXT	Heart - Left Ventricle
GTEX-1EN7A-0826-SM-7MKFV	Lung
GTEX-1EN7A-0926-SM-7P8RZ	Artery - Coronary
GTEX-1EN7A-1026-SM-7IGPZ	Thyroid
GTEX-1EN7A-1126-SM-7IGQ1	Artery - Aorta
GTEX-1EN7A-1226-SM-7MGX9	Esophagus - Mucosa
GTEX-1EN7A-1426-SM-7PBY4	Breast - Mammary Tissue
GTEX-1EN7A-1526-SM-7MGXC	Esophagus - Gastroesophageal Junction
GTEX-1EN7A-1626-SM-79OLV	Adipose - Visceral (Omentum)
GTEX-1EN7A-2026-SM-7MGY4	Liver
GTEX-1EN7A-2226-SM-7MXU6	Testis
GTEX-1EN7A-2426-SM-793DB	Skin - Not Sun Exposed (Suprapubic)
GTEX-1EN7A-3026-SM-7PBYT	Brain - Cortex
GTEX-1EN7A-3126-SM-7P8PY	Pituitary
GTEX-1EU9M-0001-SM-EVR3A	Cells - EBV-transformed lymphocytes
GTEX-1EU9M-0006-SM-ARU6I	Whole Blood
GTEX-1EU9M-0011-R2b-SM-9QEH7	Brain - Substantia nigra
GTEX-1EU9M-0011-R3a-SM-9QEHY	Brain - Anterior cingulate cortex (BA24)
GTEX-1EU9M-0011-R7b-SM-9OSVU	Brain - Putamen (basal ganglia)
GTEX-1EU9M-0011-R9a-SM-9WG61	Brain - Spinal cord (cervical c-1)
GTEX-1EU9M-0126-SM-7P8P8	Muscle - Skeletal
GTEX-1EU9M-0226-SM-7P8SP	Skin - Sun Exposed (Lower leg)
GTEX-1EU9M-0326-SM-7RHGF	Adipose - Subcutaneous
GTEX-1EU9M-0426-SM-7SB8N	Artery - Tibial
GTEX-1EU9M-0626-SM-7MXUT	Thyroid
GTEX-1EU9M-1126-SM-793DE	Adipose - Visceral (Omentum)
GTEX-1EU9M-1426-SM-793AI	Skin - Not Sun Exposed (Suprapubic)
GTEX-1EU9M-1526-SM-79OLI	Prostate
GTEX-1EU9M-1626-SM-7EWF2	Testis
GTEX-1EU9M-1726-SM-7EWF3	Artery - Aorta
GTEX-1EU9M-1826-SM-7DUGU	Heart - Left Ventricle
GTEX-1EU9M-1926-SM-7RHH4	Heart - Atrial Appendage
GTEX-1EU9M-2026-SM-7RHGE	Artery - Coronary
GTEX-1EU9M-2126-SM-7P8P7	Esophagus - Gastroesophageal Junction
GTEX-1EU9M-2326-SM-7MKGS	Esophagus - Mucosa
GTEX-1EU9M-2726-SM-7P8QD	Colon - Sigmoid
GTEX-1EU9M-2826-SM-7EWFH	Breast - Mammary Tissue
GTEX-1EU9M-2926-SM-793DF	Brain - Cerebellum
GTEX-1EU9M-3026-SM-7P8TO	Pituitary
GTEX-1EWIQ-0001-SM-EVR3B	Cells - EBV-transformed lymphocytes
GTEX-1EWIQ-0005-SM-ADEHB	Whole Blood
GTEX-1EWIQ-0008-SM-EVR3F	Cells - Cultured fibroblasts
GTEX-1EWIQ-0011-R1a-SM-9OSX7	Brain - Hippocampus
GTEX-1EWIQ-0011-R6a-SM-ARU8G	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EWIQ-0011-R9a-SM-ARL8L	Brain - Spinal cord (cervical c-1)
GTEX-1EWIQ-0126-SM-7RHH2	Skin - Sun Exposed (Lower leg)
GTEX-1EWIQ-0226-SM-793D3	Adipose - Subcutaneous
